YEAR,INTERSECTION_NAME,TOTAL_COLLISIONS,MINOR_INJURIES,MAJOR_INJURIES,FATALITIES,FOLLOWED_TOO_CLOSELY,STRUCK_PARKED_VEHICLE,IMPROPER_LANE_CHANGE,RAN_OFF_ROAD,FAILED_TO_YIELD_RIGHT_OF_WAY(NO_CONTROL),BACKED_UNSAFELY,LEFT_OF_CENTRE,LEFT_TURN_ACROSS_PATH,ANIMAL_ACTION,IMPROPER_TURN,STOP_SIGN_VIOLATION,OTHER,PEDESTRIAN_ERROR/VIOLATION,IMPROPER_PASSING,FAILED_TO_YIELD_TO_PEDESTRIAN,IMPROPER_LOADING,DRIVERLESS_VEHICLE,FAILED_TO_OBSERVE_TRAFFIC_SIGNAL,FAILED_TO_YIELD_TO_CYCLIST,SIGNED_FORCED_TURN_VIOLATION,CYCLST_ERROR/VIOLATION,OVERSIZE_VEHICLE,UNKNOWN,ONE_WAY_VIOLATION,YIELD_SIGN_VIOLATION,INANIMATE_OBJECT_ACTION,OPENED_DOOR_INTO_TRAFFIC,LATITUDE,LONGITUDE,LOCATION
2011,YELLOWHEAD TRAIL & 107 STREET NW,28,4,2,0,20,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,53.5813510,-113.5054012,"(53.581351, -113.5054012)"
2011,107 AVENUE & MAYFIELD ROAD NW,27,11,0,0,13,0,4,1,0,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53.5519404,-113.6084168,"(53.5519404, -113.6084168)"
2011,137 AVENUE & 82 STREET NW,27,6,0,0,17,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,53.5996611,-113.4674008,"(53.5996611, -113.4674008)"
2011,153 AVENUE & CASTLE DOWNS ROAD NW,27,13,3,0,11,0,2,0,0,0,0,5,0,0,0,0,0,2,2,0,0,3,1,0,0,0,0,0,1,0,0,53.6141843,-113.5167048,"(53.6141843, -113.5167048)"
2011,100 AVENUE & 170S STREET NW,26,4,0,0,14,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,53.5392780,-113.6169109,"(53.539278, -113.6169109)"
2011,107 AVENUE & 170 STREET NW,26,8,0,0,19,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53.5532490,-113.6152996,"(53.553249, -113.6152996)"
2011,111 AVENUE & 109 STREET NW,26,5,0,0,13,0,1,1,0,1,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53.5589006,-113.5084142,"(53.5589006, -113.5084142)"
2011,111 AVENUE & 97 STREET NW,26,9,0,0,12,0,2,0,0,0,2,5,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,53.5590339,-113.4918190,"(53.5590339, -113.491819)"
2011,122 AVENUE & 97 STREET NW,26,8,1,0,16,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,53.5766578,-113.4922732,"(53.5766578, -113.4922732)"
2011,34 AVENUE & CALGARY TRAIL SBD NW,26,9,0,0,17,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53.4677674,-113.4956833,"(53.4677674, -113.4956833)"
2011,98 AVENUE & 50 STREET NW,26,2,0,0,15,0,2,1,0,0,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,53.5374479,-113.4185475,"(53.5374479, -113.4185475)"
2011,WHITEMUD DRIVE EBD & 17 STREET NW,26,9,0,0,14,0,0,1,0,1,0,2,0,1,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,53.4815050,-113.3688567,"(53.481505, -113.3688567)"
2011,137 AVENUE & 113A STREET NW,25,2,0,0,16,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,53.5995100,-113.5167126,"(53.59951, -113.5167126)"
2011,76 AVENUE & 50 STREET NW,25,6,0,0,12,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,53.5124990,-113.4183862,"(53.512499, -113.4183862)"
2011,KINGSWAY AVENUE & 109 STREET NW,25,6,0,0,12,0,1,0,0,1,0,7,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,53.5608192,-113.5084218,"(53.5608192, -113.5084218)"
2011,STONY PLAIN ROAD & 170S STREET NW,25,2,0,0,11,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,53.5412982,-113.6168811,"(53.5412982, -113.6168811)"
2011,UNIVERSITY AVENUE & 114 STREET NW,25,3,0,0,17,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,53.5165485,-113.5257791,"(53.5165485, -113.5257791)"
2011,WHITEMUD DRIVE EBD & 50 STREET NW,25,7,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53.4866760,-113.4181752,"(53.486676, -113.4181752)"
2011,100 AVENUE & 109 STREET NW,24,4,1,0,17,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,53.5388490,-113.5084333,"(53.538849, -113.5084333)"
2011,118 AVENUE & 127 STREET NW,24,5,0,0,6,0,1,0,0,1,0,11,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,53.5703237,-113.5411705,"(53.5703237, -113.5411705)"
2011,23 AVENUE & PARSONS ROAD NW,24,5,1,0,19,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.4529940,-113.4791457,"(53.452994, -113.4791457)"
2011,34 AVENUE & MILL WOODS ROAD NW,24,9,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,53.4648671,-113.4505665,"(53.4648671, -113.4505665)"
2011,38 AVENUE & 66 STREET NW,24,5,0,0,15,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,53.4743402,-113.4391533,"(53.4743402, -113.4391533)"
